,location,total_sqft,bath,price,bhk,encoded_location
0,Electronic City Phase II,1056.0,2.0,39.07,2,75
1,Chikka Tirupathi,2600.0,5.0,120.0,4,58
2,Uttarahalli,1440.0,2.0,62.0,3,216
3,Lingadheeranahalli,1521.0,3.0,95.0,3,154
4,Kothanur,1200.0,2.0,51.0,2,146
5,Whitefield,1170.0,2.0,38.0,2,224
6,Old Airport Road,2732.0,4.0,204.0,4,176
7,Marathahalli,1310.0,3.0,63.25,3,161
8,Whitefield,1800.0,2.0,70.0,3,224
9,7th Phase JP Nagar,1000.0,2.0,38.0,2,7
10,Gottigere,1100.0,2.0,40.0,2,82
11,Sarjapur,2250.0,3.0,148.0,3,193
12,Mysore Road,1175.0,2.0,73.5,2,166
13,Bisuvanahalli,1180.0,3.0,48.0,3,47
14,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3,184
15,others,1100.0,2.0,48.0,2,230
16,Binny Pete,1755.0,3.0,122.0,3,46
17,Bellandur,1767.0,3.0,103.0,3,41
18,others,510.0,1.0,25.25,1,230
19,others,1250.0,3.0,56.0,3,230
20,Electronic City,660.0,1.0,23.1,2,74
21,Whitefield,1610.0,3.0,81.0,3,224
22,Ramagondanahalli,1151.0,2.0,48.77,2,187
23,Electronic City,1025.0,2.0,47.0,3,74
24,Yelahanka,2475.0,4.0,186.0,4,226
25,Bisuvanahalli,1075.0,2.0,35.0,3,47
26,Hebbal,1760.0,2.0,123.0,3,92
27,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3,184
28,Kasturi Nagar,1925.0,3.0,125.0,3,131
29,Kanakpura Road,700.0,2.0,36.0,2,127
30,Electronics City Phase 1,1070.0,2.0,45.5,2,76
31,Kundalahalli,1724.0,3.0,125.0,3,150
32,Chikkalasandra,1290.0,2.0,56.12,3,60
33,Uttarahalli,1143.0,2.0,45.0,2,216
34,Murugeshpalya,1296.0,2.0,81.0,2,165
35,Sarjapur  Road,1254.0,3.0,38.0,3,194
36,others,600.0,1.0,38.0,1,230
37,Yelahanka,660.0,1.0,48.0,1,226
38,Kanakpura Road,1330.74,2.0,91.79,2,127
39,Doddathoguru,970.0,2.0,33.0,2,70
40,Whitefield,1459.0,2.0,94.82,2,224
41,others,869.0,2.0,36.0,2,230
42,others,1270.0,2.0,50.0,2,230
43,Bhoganhalli,1670.0,3.0,99.0,3,44
44,Whitefield,2010.0,3.0,91.0,3,224
45,Lakshminarayana Pura,1185.0,2.0,75.0,2,153
46,Yelahanka,1600.0,2.0,75.0,3,226
47,Begur Road,1200.0,2.0,44.0,2,40
48,Devanahalli,3210.0,2.0,192.0,4,66
49,others,840.0,2.0,45.0,2,230
50,others,4395.0,3.0,240.0,3,230
51,others,845.0,2.0,55.0,2,230
52,Varthur,1160.0,2.0,44.0,2,217
53,Doddathoguru,1100.0,2.0,62.0,2,70
54,Gunjur,1140.0,2.0,43.0,2,85
55,Marathahalli,1220.0,2.0,57.0,2,161
56,Kanakpura Road,1005.0,2.0,36.68,2,127
57,Begur Road,1358.0,2.0,80.58,2,40
58,Hegde Nagar,1569.0,3.0,101.0,3,94
59,Haralur Road,1240.0,2.0,70.0,2,90
60,Hennur Road,2089.0,3.0,140.0,3,96
61,Kothannur,1206.0,2.0,48.23,2,145
62,Kalena Agrahara,1150.0,2.0,40.0,2,121
63,others,2511.0,3.0,205.0,3,230
64,ISRO Layout,4400.0,6.0,250.0,6,106
65,others,1660.0,2.0,105.0,3,230
66,Hennur Road,3203.5,2.0,224.5,4,96
67,Yelahanka,1326.0,2.0,78.0,2,226
68,Garudachar Palya,1325.0,2.0,60.8,3,79
69,Hegde Nagar,3000.0,7.0,210.0,6,94
70,Kanakpura Road,1665.0,3.0,88.0,3,127
71,Dasanapura,708.0,2.0,37.0,2,64
72,Kasavanhalli,1060.0,2.0,58.06,2,130
73,Sanjay nagar,1000.0,2.0,70.0,2,191
74,others,1450.0,2.0,70.0,3,230
75,Thanisandra,1296.0,2.0,80.0,2,209
76,Domlur,1540.0,3.0,90.0,3,71
77,Sarjapura - Attibele Road,1330.0,2.0,48.0,3,195
78,others,1200.0,2.0,65.0,2,230
79,others,1200.0,3.0,90.0,3,230
80,Yeshwanthpur,2502.0,3.0,138.0,3,229
81,Kothanur,2400.0,2.0,150.0,3,146
82,others,1007.0,2.0,43.0,2,230
83,others,1200.0,2.0,50.0,2,230
84,others,966.0,2.0,49.9,2,230
85,Nagarbhavi,1630.0,2.0,98.0,3,169
86,others,782.0,2.0,55.68,2,230
87,Devanahalli,1260.0,2.0,66.78,2,66
88,others,1800.0,3.0,120.0,3,230
89,others,1413.0,2.0,75.0,3,230
90,Whitefield,1116.0,2.0,51.91,2,224
91,Electronic City,1530.0,2.0,45.9,3,74
92,Ramamurthy Nagar,3700.0,4.0,225.0,4,188
93,Sarjapur  Road,2497.0,3.0,140.0,3,194
94,Kengeri,1540.0,2.0,64.0,3,135
95,Thanisandra,1436.0,3.0,74.75,3,209
96,Malleshwaram,1100.0,2.0,75.0,2,160
97,Shampura,2650.0,4.0,150.0,4,199
98,Devanahalli,1282.0,2.0,68.52,3,66
99,Kadugodi,1050.0,2.0,34.0,2,117
100,LB Shastri Nagar,1600.0,3.0,65.0,3,151
101,others,945.0,2.0,54.0,2,230
102,Hormavu,1500.0,2.0,78.0,2,100
103,others,1870.0,3.0,110.0,3,230
104,Sarjapur,1600.0,3.0,75.0,3,193
105,Kudlu Gate,1535.0,3.0,83.0,3,148
106,Kanakpura Road,950.0,2.0,57.0,2,127
107,Devanahalli,1360.0,2.0,65.0,2,66
108,8th Phase JP Nagar,1073.5,2.0,54.005,2,8
109,Bommasandra Industrial Area,1280.0,3.0,50.4,3,50
110,others,1260.0,2.0,85.05,3,230
111,Yelahanka,3050.0,5.0,213.0,5,226
112,Kasavanhalli,1563.05,3.0,105.0,3,130
113,ISRO Layout,1000.0,2.0,60.0,2,106
114,Anandapura,1167.0,2.0,43.76,2,16
115,Kothanur,1828.0,3.0,110.0,3,146
116,Kengeri Satellite Town,890.0,2.0,35.0,2,136
117,Mysore Road,1710.0,4.0,91.31,3,166
118,Kannamangala,957.0,2.0,58.0,2,128
119, Devarachikkanahalli,1250.0,2.0,44.0,3,0
120,Hulimavu,1125.0,2.0,50.0,2,105
121,Electronic City Phase II,1020.0,2.0,30.6,2,75
122,Kalena Agrahara,1200.0,2.0,50.0,2,121
123,Thanisandra,1735.0,3.0,135.0,3,209
124,Thanisandra,2050.0,3.0,145.0,3,209
125,others,1350.0,2.0,48.0,3,230
126,Hosa Road,1063.0,2.0,32.0,2,101
127,others,1904.0,3.0,150.0,3,230
128,Sarjapur,1242.5,2.0,43.49,2,193
129,others,1425.0,2.0,75.0,3,230
130,Electronic City,1500.0,2.0,64.5,3,74
131,Electronic City,1060.0,2.0,60.0,2,74
132,others,1470.0,2.0,70.0,3,230
133,Electronic City,1152.0,2.0,64.5,2,74
134,Electronic City,1350.0,2.0,56.0,3,74
135,CV Raman Nagar,1550.0,3.0,65.0,3,54
136,others,1500.0,3.0,100.0,3,230
137,Nagavara,400.0,1.0,14.0,1,171
138,Electronic City,770.0,1.0,36.0,2,74
139,Hulimavu,1242.0,2.0,51.0,2,105
140,Thanisandra,2144.0,3.0,145.0,3,209
141,Vijayanagar,1704.0,3.0,110.0,3,220
142,Electronic City,1070.0,2.0,52.0,2,74
143,others,1340.0,2.0,55.7,2,230
144,Electronic City,1025.0,2.0,46.0,2,74
145,KR Puram,1277.5,2.0,56.8,2,115
146,Marathahalli,1200.0,2.0,52.0,2,161
147,Kanakpura Road,2250.0,4.0,110.0,4,127
148,others,1550.0,2.0,80.0,3,230
149,Marathahalli,1200.0,2.0,60.0,2,161
150,Yelahanka,1327.0,2.0,98.0,2,226
151,Kothanur,1186.0,2.0,58.0,2,146
152,others,1783.0,3.0,115.0,3,230
153,HSR Layout,1400.0,3.0,56.0,3,89
154,Nagasandra,980.0,2.0,48.0,2,170
155,EPIP Zone,1285.0,2.0,82.0,2,73
156,others,912.0,2.0,70.0,3,230
157,Whitefield,1225.0,2.0,47.6,2,224
158,Whitefield,1075.0,2.0,53.0,2,224
159,Kadugodi,1260.0,2.0,54.0,3,117
160,Yelahanka,1282.0,2.0,48.7,3,226
161,Kogilu,1909.0,3.0,88.0,3,142
162,Panathur,1359.0,2.0,87.0,2,180
163,others,1207.0,2.0,43.5,2,230
164,Kammasandra,1595.0,3.0,65.0,3,125
165,others,1798.0,3.0,89.0,3,230
166,Electronics City Phase 1,1475.0,3.0,78.29,3,76
167,others,1580.0,3.0,100.0,3,230
168,Dasarahalli,1295.0,2.0,65.0,2,65
169,Magadi Road,3600.0,6.0,141.0,6,155
170,Electronic City,589.0,1.0,27.0,1,74
171,others,1415.0,3.0,78.0,3,230
172,Sarjapur  Road,1787.0,3.0,98.29,3,194
173,Sarjapur  Road,1787.0,3.0,125.0,3,194
174,Koramangala,1475.0,2.0,90.0,3,144
175,others,2000.0,4.0,75.5,4,230
176,Sarjapur  Road,984.0,2.0,44.28,2,194
177,Devanahalli,1630.0,2.0,74.82,3,66
178,7th Phase JP Nagar,1080.0,2.0,72.0,2,7
179,others,1500.0,2.0,115.0,2,230
180,Hebbal,1900.0,3.0,119.0,3,92
181,Budigere,1153.0,2.0,56.4,2,53
182,others,1148.0,2.0,60.0,2,230
183,others,1110.0,2.0,55.0,2,230
184,Electronic City,1100.0,2.0,42.0,2,74
185,others,1500.0,2.0,65.0,3,230
186,others,1080.0,2.0,39.0,2,230
187,Vijayanagar,1933.0,3.0,129.0,3,220
188,Ramamurthy Nagar,3500.0,5.0,150.0,5,188
189,others,1060.0,2.0,60.0,2,230
190,others,1644.0,3.0,84.0,3,230
191,others,1285.0,2.0,72.5,2,230
192,Electronic City,1200.0,3.0,90.0,3,74
193,Electronic City,910.0,2.0,40.0,2,74
194,Kothanur,1577.0,3.0,70.0,3,146
195,others,4050.0,3.0,280.0,3,230
196,OMBR Layout,2420.0,3.0,185.0,3,175
197,others,1060.0,2.0,55.0,2,230
198,7th Phase JP Nagar,1270.0,2.0,93.0,2,7
199,others,1280.0,2.0,69.0,2,230
200,Horamavu Agara,1200.0,2.0,95.0,4,98
201,Sarjapur  Road,1025.0,2.0,36.0,2,194
202,Electronic City,1108.0,2.0,63.0,2,74
203,others,3045.0,3.0,170.0,3,230
204,Vijayanagar,1500.0,3.0,75.5,3,220
205,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2,184
206,Budigere,1162.0,2.0,59.9,2,53
207,Sarjapur  Road,1035.0,2.0,49.2,2,194
208,Attibele,1600.0,4.0,52.8,4,22
209,others,1464.0,3.0,46.0,3,230
210,Hennur Road,1866.0,2.0,61.58,3,96
211,others,700.0,1.0,26.0,2,230
212,Kalena Agrahara,1804.0,3.0,120.0,3,121
213,Sarjapur,913.0,2.0,32.0,2,193
214,Talaghattapura,1868.0,3.0,131.0,3,208
215,Kengeri Satellite Town,883.0,2.0,45.0,2,136
216,Kogilu,1664.0,2.0,73.95,3,142
217,Hegde Nagar,2026.0,3.0,132.0,3,94
218,Balagere,1210.0,2.0,80.9,2,26
219,others,4111.0,4.0,250.0,4,230
220,Kadugodi,1762.0,3.0,91.45,3,117
221,Jigani,1252.0,3.0,55.0,3,113
222,Gollarapalya Hosahalli,861.0,2.0,34.5,2,81
223,7th Phase JP Nagar,1420.0,2.0,100.0,3,7
224,Electronics City Phase 1,1490.0,3.0,78.8,3,76
225,Bisuvanahalli,1075.0,2.0,46.0,3,47
226,Old Madras Road,1425.0,2.0,94.0,3,177
227,Kalena Agrahara,1200.0,2.0,40.0,2,121
228,Kaggadasapura,1280.0,2.0,56.0,3,118
229,others,1084.0,2.0,50.0,2,230
230,Kanakpura Road,1017.0,2.0,51.25,2,127
231,Haralur Road,1027.0,2.0,44.0,2,90
232,Electronic City Phase II,1069.0,2.0,45.0,2,75
233,Hebbal,1349.0,2.0,98.2,2,92
234,9th Phase JP Nagar,1005.0,2.0,50.0,2,9
235,Jakkur,1417.0,2.0,75.0,2,110
236,TC Palaya,1475.0,3.0,98.0,3,207
237,others,950.0,2.0,47.0,2,230
238,others,2000.0,4.0,120.0,4,230
239,Sarjapur  Road,1863.0,3.0,104.0,4,194
240,Singasandra,1010.0,2.0,29.5,2,201
241,Kalena Agrahara,1425.0,2.0,70.0,3,121
242,Vijayanagar,1450.0,3.0,100.0,3,220
243,Kothanur,1847.0,3.0,105.0,3,146
244,AECS Layout,1100.0,2.0,45.0,2,10
245,Kanakpura Road,525.0,1.0,26.0,1,127
246,Mallasandra,1665.0,3.0,95.0,3,158
247,Begur,1664.0,4.0,65.0,4,39
248,JP Nagar,1850.0,3.0,150.0,3,109
249,Panathur,1438.0,2.0,100.0,2,180
250,others,1560.0,3.0,115.0,3,230
251,Yelahanka,1350.0,2.0,55.55,2,226
252,Kanakpura Road,1550.0,3.0,67.0,3,127
253,Malleshpalya,1140.0,2.0,46.5,2,159
254,others,850.0,2.0,27.0,2,230
255,Whitefield,1280.0,2.0,75.0,2,224
256,Munnekollal,1170.0,2.0,52.0,2,164
257,others,1113.0,2.0,51.0,2,230
258,Hennur Road,1385.0,2.0,83.09,2,96
259,Electronic City,1128.0,2.0,65.0,2,74
260,Haralur Road,1464.0,3.0,56.0,3,90
261,others,1200.0,2.0,55.0,2,230
262,Kaval Byrasandra,1200.0,2.0,52.0,2,133
263,Kaggalipura,1150.0,2.0,55.0,3,119
264,others,1645.0,3.0,95.0,3,230
265,Sarjapur  Road,1000.0,2.0,67.0,2,194
